,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
unit_effect[KES],-0.0252,0.2242,-0.378,0.3393,4324.8749,2837.4459,1.0015,0.0034,0.0023
unit_effect[NZD],-0.0223,0.1864,-0.3226,0.2806,6101.5467,2964.1128,1.0014,0.0024,0.0017
unit_effect[HUF],-0.0273,0.207,-0.3588,0.3043,4880.3796,2945.5214,1.0014,0.003,0.0021
exchange_effect[CBSE],0.0042,0.2235,-0.3477,0.3658,4250.3182,2990.2301,1.0014,0.0034,0.0024
sector_effect[Health Care],0.0695,0.0146,0.0463,0.0928,4291.9258,2889.4638,1.0014,0.0002,0.0002
exchange_effect[SZSE],-0.0155,0.1422,-0.2431,0.2137,4462.6743,3132.1365,1.0014,0.0021,0.0015
exchange_effect[TWSE],-0.0115,0.1463,-0.2476,0.2241,6673.5915,3339.5879,1.0014,0.0018,0.0013
beta[feat_coverage_drift],-0.0666,0.0076,-0.0786,-0.0543,4516.2004,3612.2254,1.0014,0.0001,0.0001
exchange_effect[WSE],-0.0369,0.1819,-0.3294,0.2529,6207.0249,2705.7227,1.0013,0.0023,0.0015
unit_effect[INR],-0.1261,0.1518,-0.3707,0.1138,3426.1459,2714.8973,1.0013,0.0026,0.0019
exchange_effect[OB],0.0649,0.1726,-0.2033,0.3481,6486.4922,3380.1232,1.0013,0.0021,0.0015
exchange_effect[OM],0.5419,0.1598,0.2849,0.799,7390.6074,2938.2197,1.0012,0.0019,0.0014
exchange_effect[NASE],-0.0204,0.2201,-0.3657,0.3383,4597.9979,3367.3261,1.0012,0.0032,0.0022
unit_effect[NGN],-0.0762,0.1982,-0.3853,0.2419,4859.056,3007.3641,1.0012,0.0028,0.002
sigma_style_class,0.0139,0.0053,0.0058,0.0229,3437.0965,3156.7438,1.0012,0.0001,0.0001
unit_effect[CHF],0.0815,0.1771,-0.2003,0.3628,6911.9596,3175.5034,1.0012,0.0021,0.0015
exchange_effect[SHSE],-0.0215,0.1427,-0.2468,0.2104,4523.182,3086.4823,1.0012,0.0021,0.0015
unit_effect[CAD],0.1479,0.1698,-0.127,0.4216,4445.9216,2886.6542,1.0012,0.0025,0.0018
unit_effect[ARS],0.0339,0.2238,-0.3239,0.3893,4797.4799,3052.9759,1.0012,0.0032,0.0023
