isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos
GB00BYV81293,STX,Shield Therapeutics plc,Europe,Europe,GB,GBP,AIM,Health Care,Pharmaceuticals,Small Cap,Core,87.53,105.86,0.0615,0.1667,0.13867132663655157,0.13314014549217626,0.14452619025441216,1.2548183192935183,2.3518847189997287,1.0,1.7105691056910568,-0.3756,-0.8561,-0.9586,-0.1437,3.0,300.0270444079984,37765.44672936133,0.21579274404256651,1.2682364259212668,3.2778874605650605,0.980125
US15102K1007,CELC,Celcuity Inc.,United States and Canada,United States and Canada,US,USD,NasdaqCM,Health Care,Biotechnology,Small Cap,Value,4029.07,3965.45,82.62,163.5418,185.49853330152453,177.92946533217236,193.07654730465146,1.2452013229426833,2.3343911096202428,1.0,0.9794456548051319,-0.1716,2.8789,,1.0077,11.0,1.2633701647258428,0.2935963395948855,0.8198102471588724,1.2427926790314567,1.774454448261125,1.0
US2935941078,ENVX,Enovix Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Industrials,Electrical Equipment,Small Cap,Core,840.23,857.34,3.95,12.95,8.853772409597797,8.611609584340457,9.094898128434288,1.2414613695184293,2.3280867951593134,1.0,2.278481012658228,-0.4596,-0.7691,,-0.4065,10.0,1.347173225090462,0.7615999566216172,0.3452983542435497,1.238782930827363,2.7151670184401517,0.9929375
GB00B02LCQ05,AGY,Allergy Therapeutics plc,Europe,Europe,GB,GBP,AIM,Health Care,Pharmaceuticals,Small Cap,Core,504.46,526.67,0.0598,0.13,0.13364042558424424,0.12895997507608473,0.13831138543905605,1.234789725489043,2.315562009219185,1.0,1.173913043478261,-0.4564,-0.5162,-0.3338,0.8648,1.0,1.3949337914161037,0.9586712286697878,0.20007339443789152,1.2170982910479242,3.123937077972301,0.9814375
GG00BD95V148,ATM,Andrada Mining Limited,Europe,Africa / Middle East,ZA,GBP,AIM,Materials,Metals and Mining,Small Cap,Core,120.1,146.08,0.041,0.156,0.0912699552063789,0.08604697462515715,0.09666739179159742,1.2260964684482647,2.298340457357671,1.0,2.8048780487804876,0.1884,-0.2264,,-0.184,3.0,1.5791251307824294,1.5855273683760291,-0.05525127970040659,1.223630353272074,4.37192104401147,0.9391875
US9509151083,WRD,WeRide Inc.,United States and Canada,Asia / Pacific,CN,USD,NasdaqGM,Consumer Discretionary,Automobile Components,Small Cap,Core,1750.05,903.43,5.32,14.1287,11.829973354283807,11.42010224254899,12.249548537860155,1.223679201933044,2.29514552294085,1.0,1.6557706766917293,-0.3871,,,,12.0,1.249951226154528,0.3738230397986635,0.6995298273066932,1.2205583279912735,1.9003336133473725,1.0
SG9999014716,WVE,Wave Life Sciences Ltd.,United States and Canada,Asia / Pacific,SG,USD,NasdaqGM,Health Care,Pharmaceuticals,Small Cap,Growth,1117.86,588.98,5.81,21.9375,12.914335006445189,12.480979554401056,13.362346876255788,1.222777109543057,2.293513874282075,1.0,2.775817555938038,-0.6582,-0.0051,-0.7246,0.1141,16.0,1.2852086722359488,0.5778576267439415,0.48286431432558097,1.214333456941572,2.3082651166887582,0.9983125
GB00BKPH9R58,LBG,LBG Media plc,Europe,Europe,GB,GBP,AIM,Communication Services,Entertainment,Small Cap,Value,86.44,67.61,0.315,0.62,0.6992722317266536,0.6753799707448276,0.7231260292078028,1.2199118467512873,2.288212672172786,1.0,0.9682539682539683,-0.6441,,,-0.2696,4.0,1.3111237683321564,0.6793702540940797,0.39128676027893067,1.218391095951906,2.5464033068880507,0.9963125
BE0974358906,NYXH,Nyxoah SA,Europe,Europe,BE,EUR,ENXTBR,Health Care,Health Care Equipment and Supplies,Small Cap,Core,140.89,152.42,1.24,5.4667,2.7387175718111147,2.632842669135016,2.844362799496649,1.2086432030734744,2.2671781848914674,1.0,3.4086290322580646,-0.6965,-0.9552,,-0.437,3.0,1.745413107957059,2.052433448297542,-0.2051256923617105,1.2251037799232816,5.3205438441593,0.903
AU000000EOS8,EOS,Electro Optic Systems Holdings Limited,Asia / Pacific,Asia / Pacific,AU,AUD,ASX,Industrials,Aerospace and Defense,Small Cap,Core,1063.17,996.23,6.87,14.0375,15.159817472699341,14.56737274046599,15.776775937052216,1.2066692099999048,2.2634501144242325,1.0,1.0433042212518195,-0.2722,0.6921,2.8596,0.8112,4.0,1.2794935467392647,0.6139322000610775,0.44343299803795927,1.2015886271497633,2.360088778655886,0.997125
KYG2646Y1044,DMRA,Damora Therapeutics Inc.,United States and Canada,United States and Canada,US,USD,NasdaqCM,Health Care,Biotechnology,Small Cap,Core,1773.96,1373.52,28.82,43.375,63.382314122858965,59.11414835025245,67.81392173924161,1.199247540696009,2.247829568282987,1.0,0.5050312283136711,0.2525,-0.738,,-0.2112,8.0,1.2236291581822307,0.3550129009365271,0.6958329284440998,1.1966231497129551,1.835523096797137,0.9998125
US5949724083,MSTR,Strategy Inc,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,Software,Large Cap,Core,32923.54,47958.64,91.67,303.6429,201.18766770484723,196.46554699439957,205.89251737967047,1.1946947496983495,2.2417418559900932,1.0,2.3123475509981457,-0.3967,0.6985,3.8802,0.2858,14.0,1.285691736523834,0.648193880130319,0.4234381015902796,1.1943930058925272,2.453577273736364,0.99625
GB0031852162,JLP,Jubilee Metals Group PLC,Europe,Europe,GB,GBP,AIM,Materials,Metals and Mining,Small Cap,Value,103.05,91.04,0.024,0.06,0.05257720940087917,0.05068479225394753,0.05447291965464825,1.1907170583699638,2.233842359533357,1.0,1.5,-0.2941,-0.8681,-0.2441,-0.3127,1.0,1.3453213254160792,0.9460859261654395,0.18924085391622764,1.17457004662821,3.047252081208772,0.978875
US46125A1007,LUNR,Intuitive Machines Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGM,Industrials,Aerospace and Defense,Small Cap,Core,2803.91,3362.04,12.92,40.7778,28.281935040579295,27.368479965587614,29.247923105081618,1.1890042601067667,2.2307817041142526,1.0,2.1561764705882354,-0.2039,,,0.1474,9.0,1.2829394541990886,0.7555844254202262,0.3897313407474614,1.198204726584958,2.428172549988651,0.99475
US60744M1062,MBGL,Mobility Global Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Industrials,Professional Services,Small Cap,Value,6576.0,6706.0,20.55,27.8333,44.972113305035776,42.72951085899203,47.281674704912746,1.1884240051112251,2.2288422118114948,1.0,0.3544184914841849,,,,,6.0,1.2363818375935234,0.43735319375027676,0.5977067857816822,1.1987834076355135,2.0074915232565793,0.9994375
BRLJQQACNOR5,LJQQ3,Lojas Quero-Quero S.A.,Latin America and Caribbean,Latin America and Caribbean,BR,BRL,BOVESPA,Consumer Discretionary,Specialty Retail,Small Cap,Core,45.58,373.03,1.12,3.9333,2.4490230996274174,2.3809206159914345,2.5185583353971315,1.186627767524479,2.2265186347008843,1.0,2.511875,-0.4932,-0.9475,,-0.4107,3.0,1.306791815298896,0.7627680020116475,0.28534018503946085,1.1918598516416228,2.6988729412310892,0.9878125
US59739R1041,MFP,Midera Food Processing Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Industrials,Machinery,Small Cap,Value,2134.13,2113.16,47.2,46.6667,102.65936449797321,97.50117155561827,108.01907615457975,1.1749865359740066,2.2035842704469375,1.0,-0.011298728813559322,,,,,3.0,1.2329422802403829,0.5542817227564978,0.46039543920772447,1.1630313095515001,2.227205294326479,0.99825
US29415C1018,EOSE,Eos Energy Enterprises Inc.,United States and Canada,United States and Canada,US,USD,NasdaqCM,Industrials,Electrical Equipment,Small Cap,Growth,1225.6,2040.49,3.47,7.8889,7.5454611544282795,7.288807915114605,7.813638793630619,1.1744844825441647,2.2034301852740814,1.0,1.273458213256484,-0.6972,-0.7916,,0.036,9.0,1.2173687400476407,0.4586482857875363,0.5649786165845673,1.1723821362927003,2.031768394852278,0.9996875
US09175A2069,BMNR,Bitmine Immersion Technologies Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Information Technology,Software,Mid Cap,Core,9524.94,9186.52,15.79,31.8667,34.28279297659337,32.03797363189483,36.641388003472244,1.1711711828114815,2.195223383288207,1.0,1.0181570614312856,-0.4184,2.3591,-0.0817,-0.0043,3.0,1.2774434577417995,0.727419595541637,0.32188933696743216,1.1691199393345593,2.5960465759558757,0.99125
