,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
sigma_state,0.1082,0.0562,0.0377,0.2084,8697.2139,6139.005,1.0003,0.0006,0.0006
sigma_obs,1.8805,0.1478,1.6555,2.1312,9496.0196,7456.3836,1.0,0.0015,0.0011
beta_trend,0.2279,0.1087,0.0549,0.3967,8989.5717,7446.3228,1.0011,0.0012,0.0009
log_state_init,3.1928,0.7485,1.9884,4.3791,10012.4703,7693.3001,0.9998,0.0075,0.0052
