,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
sigma_state,0.083,0.0393,0.0301,0.1519,2513.5613,3192.9326,1.0001,0.0008,0.0006
vol_step_size,0.1406,0.1223,0.0091,0.3735,3021.3576,4282.2775,1.0005,0.0022,0.0023
nu_obs,12.9645,10.3823,2.4942,32.1474,12805.9031,7032.7675,1.0003,0.0965,0.1345
beta_trend,0.0408,0.0408,-0.0186,0.1091,1861.51,2092.0679,1.0009,0.001,0.0009
