fiscal_event,date,horizon_days,forecast_pt,forecast_pt_lo,forecast_pt_hi,implied_upside_pct
Next earnings,2026-07-27,3,150.66,126.393,178.736,18.911
Next FY end,2026-12-31,160,158.312,126.47,194.992,24.951
