asof_date,n_isin,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,last_price,expected_vs_observed_pct
2025-05-30,24,36.439080000000004,29.59765445001566,14.62295014867992,51.08449754048449,81.055,-18.774967836686173
2025-05-31,9,9.535,29.58791715615727,14.642021568265553,51.0667677613565,81.055,210.3085176314344
2025-06-01,5,11.398,29.68654007328045,14.97528281463521,50.84914868431048,81.055,160.4539399305181
2025-06-23,24,35.77639,29.52767443301481,14.563214586667218,51.174752227005406,81.055,-17.466031555965234
2025-06-25,24,27.97,29.58658591774453,14.712009018190926,51.21248279741419,81.055,5.779713685178867
2025-06-30,1121,61.39865999999999,29.64288550237777,14.560953954612184,50.88110177474657,81.055,-51.72063119557044
2025-07-01,32,14.04833,29.67201451822751,14.712885330250632,51.11980031784702,81.055,111.21382056249752
2025-07-31,15,69.51948,29.387054899934395,14.55507913772081,50.94725001764465,81.055,-57.728316005910294
2025-08-24,3,4.57664,29.14867232067874,14.487664337537437,50.84639369117827,81.055,536.9011397155716
2025-08-26,3,4.084,29.278495971509027,14.49299405150985,50.8599425690656,81.055,616.907345041847
2025-08-28,7,4.0112000000000005,29.503947744853864,14.664842779073231,51.022712452798125,81.055,635.5391839064085
2025-08-30,33,71.54134,29.854322927165764,15.09860347703057,51.67625718787526,81.055,-58.26982982543274
2025-08-31,3,4.6992,30.218124337203424,15.401228969919032,52.53407254458788,81.055,543.0482707099809
2025-09-01,3,4.51854,30.576527800612034,15.591741381200071,53.00736498746431,81.055,576.6904309934633
2025-09-23,33,72.296,30.79440827190609,15.802077270889113,53.309976347239825,81.055,-57.40510087431381
2025-09-25,33,68.64,31.253309379336347,16.134748823192524,54.64833971058342,81.055,-54.46778936576872
2025-09-30,1384,92.41495,31.66491029726512,16.385323732873175,55.414643661272756,81.055,-65.73616033199703
2025-10-01,36,69.70758000000001,32.09165707647923,16.528068489112304,56.922467017831714,81.055,-53.9624570577845
2025-10-24,1,69.25750000000001,32.20440423899924,16.57393281230609,57.71992737070446,81.055,-53.500481191207825
2025-10-26,1,59.35,32.424907908576884,16.468816138123355,58.10740084545779,81.055,-45.36662525934814
2025-10-31,12,79.05675,32.5406178522769,16.74167766167545,58.512151657904056,81.055,-58.83891274018107
2025-11-01,1,71.16,32.75848537404982,16.94646736645983,58.956552111307005,81.055,-53.96502898531503
2025-11-28,7,4.0756,32.46907817474965,16.7271400769299,58.2925751241913,81.055,696.6698933837877
2025-11-30,1069,65.66315999999999,32.740650566854605,16.81668689281185,58.53060512377707,81.055,-50.13847861288643
2025-12-24,1068,66.19682,32.54329153112802,16.496783912210027,58.67227520422514,81.055,-50.838587818677674
2025-12-26,1066,58.615,32.664709813757554,16.52491690354936,58.75227621757439,81.055,-44.2724391132687
2025-12-31,1363,96.1391,32.80748442623523,16.376465871628472,59.92024139018488,81.055,-65.87498278407513
2026-01-01,1139,63.33904,32.92345531674249,16.38887664332155,60.19586931162528,81.055,-48.02028051460443
2026-01-24,11,77.90934,32.55901649230205,16.326778818605334,59.3633738755634,81.055,-58.209097276010745
2026-01-26,11,65.49,32.59441048658184,16.114539996626583,59.56075073971654,81.055,-50.22994275983839
2026-01-28,7,3.4297200000000005,32.54919485559938,16.127206698616504,59.572221907005684,81.055,849.0335903688749
2026-01-31,11,81.6667,32.625496717620415,16.21577726956309,60.0122558071307,81.055,-60.050428488453164
2026-02-01,11,77.08534,32.71613573103387,16.071127359285352,61.32126925468698,81.055,-57.558550392287465
2026-02-21,7,3.4711399999999997,32.42151507754873,15.800735460330054,60.752457517471804,81.055,834.0307529384795
2026-02-23,7,2.37,32.55411846830833,15.661109601956095,61.25475298287029,81.055,1273.5914965530942
2026-02-28,293,1658.17242,32.86658549715157,15.659167635030075,62.50505503203421,81.055,-98.01790301776026
2026-03-01,7,3.41092,32.95035984937767,15.7245480952604,62.72973851428326,81.055,866.0255839884157
2026-03-24,285,1760.8400000000001,32.91892851430975,15.412600141442677,63.8340634574434,81.055,-98.13049859644774
2026-03-26,284,1547.0,32.84763699650239,15.359318199132078,63.539291967914764,81.055,-97.87668797695524
2026-03-31,285,1745.3462,32.47266657046278,15.046742365573909,63.64488932735672,81.055,-98.1394713226257
2026-04-01,303,1533.8833399999999,31.866182659967652,14.596141624805764,61.61677564175082,81.055,-97.92251588963946
2026-04-30,1,1.56422,30.71261159131034,13.827980276380618,59.721815530533796,81.055,1863.445780728436
2026-05-24,1,1.6475000000000002,29.805968345667473,13.075753110529552,58.46775758582046,81.055,1709.1634807688906
2026-05-26,1,1.49,29.389980793723044,12.70252587778252,57.53799362116901,81.055,1872.481932464634
2026-05-31,1,1.7663,29.12021022371205,12.202504261699142,58.26993939733561,81.055,1548.6559601263687
2026-06-01,1,1.6134999999999997,29.13492539219543,12.038901333961745,58.11854669876811,81.055,1705.6972663275758
2026-07-01,1,1.6134999999999997,28.951923625522817,11.629625197314637,58.96844750774664,81.055,1694.3553533016932
2027-01-01,302,1403.7303900000002,27.01621858732624,10.423470049348047,56.982598261822965,81.055,-98.0753983257906
