isin,er_mean,er_sd,er_p05,er_p50,er_p95,prob_pos
US67066G1040,0.41139358049231967,0.09000852012587451,0.2706559759387044,0.40809431565432597,0.5655858106224217,1.0
NO0013647693,0.3333360912403815,0.5327160754309089,-0.32893127936591127,0.2423957502919003,1.314961762039335,0.7323125
CA87261Y1060,1.096100350174513,0.44787312668980556,0.465177871663015,1.0457680108444465,1.896117450932164,0.99925
US56400P7069,0.430621393873952,0.2859209414042428,0.01824610789292382,0.40368971823547306,0.926345998365659,0.958
US0378331005,0.043436966448308884,0.06976240927943793,-0.06604075650211708,0.041055336872091265,0.16080933713179174,0.741875
GB00BZ1BLL44,1.3186372668872453,1.5627121962848927,-0.2046384456654581,0.9612392158729538,3.930502897669635,0.8971875
US02079K3059,0.3394930261470902,0.0772938362600396,0.21522838144147374,0.33809286267161953,0.46928992841439315,1.0
DE000A40ZTT8,0.26270489821764126,0.5154535835317943,-0.36642342098129344,0.16913485923268912,1.222262812347991,0.6766875
FR001400NLM4,0.30079833238297154,0.213608804687992,-0.009590192408289911,0.2833629336654626,0.6742774568386428,0.9436875
DE000PAH0038,0.26932257279663085,0.17857115490662068,0.0014317270205203105,0.25579041993440677,0.5807517651004763,0.951
US5949181045,0.5174218571511301,0.09543164026181038,0.36591283998602925,0.5149022812241638,0.6780550626063453,0.999875
GB00BNG73286,0.8146405408985251,0.4399419307202048,0.20457241046248215,0.7650088615035421,1.5757608584715475,0.9905
US0231351067,0.4176260094675619,0.07736599720544238,0.2960690878115742,0.4152971850993312,0.5482934460816492,1.0
FR001400PFU4,0.2816259991618849,0.19338129384503017,-0.008403469371840378,0.26888889413479133,0.6206099576853986,0.94325
US0235861004,0.061245344704633185,0.27174009937752325,-0.3188222967094712,0.030250330501222524,0.543147645384065,0.552
GB00BF188X60,0.7440953719364265,0.711902825185187,-0.12326109568042735,0.6267011912342667,1.9977804888414399,0.9063125
US11135F1012,0.450232033163369,0.09997624201116757,0.29622863057002424,0.4455921899265354,0.6187355650428269,0.9999375
US84615Q1031,0.43636168370276596,0.2588277009423818,0.05408238935408081,0.414379476438329,0.8945102228425792,0.9716875
US30303M1027,0.5123761260927616,0.08718289411459668,0.3756514159968705,0.5102808163112987,0.6542903291332546,1.0
IT0005600249,0.5267257448774121,0.6169467472016879,-0.23194877050110066,0.4192444137380402,1.6480842143463545,0.8409375
NL0013995087,0.24062064083126955,0.20642057415741413,-0.062139869936757006,0.22468755867962953,0.598190510743574,0.9001875
IT0005541336,0.3471858066845727,0.13473191605166657,0.14114397677799354,0.33965109721185216,0.5777660481327821,0.9968125
US88160R1014,0.24351782657254575,0.10355700706197661,0.08235791965589169,0.2394767735978166,0.41334641884629075,0.9914375
FR0011341205,0.4367503525182032,0.30905016385989864,0.0033854967667330343,0.4030249179134431,0.9826456079321539,0.95125
CH1134239669,0.5098233816990108,0.16747529432103925,0.2555772759553201,0.49960231033477115,0.7991431676972892,0.9993125
FR0014003T71,0.4308142413815349,0.4014115301135135,-0.10997036474828066,0.3799934782995101,1.1595945360732929,0.8913125
US5324571083,0.03130849976840286,0.08727516769326385,-0.1039129927185187,0.0275053356955516,0.1807971755107945,0.63575
GG00BQ0H1P47,0.16881301582642894,0.4634942088289988,-0.41432960559602355,0.09071260171147325,1.0146540299739628,0.597125
US5951121038,0.2535483379350015,0.10681783145300164,0.08817172240314632,0.24944108205196563,0.4340497617476046,0.9933125
IT0005573818,0.1833463567972035,0.46728060931854615,-0.4086317018302322,0.10920553389725222,1.0330006312509936,0.611625
US30260D1037,0.5892335339428134,0.277411554224387,0.18805252327509425,0.5696393921622851,1.0636811947160705,0.9938125
US8361001071,0.9926192430951428,0.41884339691098993,0.39175174012933844,0.9527817414003711,1.7342089014415945,0.9984375
US9311421039,0.3061060968490453,0.0863934469784121,0.169971773447532,0.30304664056707703,0.4524916715426221,0.9995625
HRADRSRA0007,-0.02745376849343912,0.3983226374936497,-0.5243210225462429,-0.09564063776581455,0.7021887690393447,0.387875
IT0003865570,0.5740237702571999,0.3142918683017081,0.11310011063886992,0.5439461662231527,1.1359706198417148,0.98175
US0079031078,0.25375757106356595,0.09027082228921954,0.11355520518602755,0.2510217982911847,0.4063651668643771,0.9970625
GB0004339189,0.44069084778974627,0.5792870947360085,-0.27490478558412074,0.3424314091322397,1.4864963783623566,0.7955
FR0000053225,0.06476166035136219,0.18708409985491906,-0.20592353836341626,0.04685262779715467,0.4028204980214476,0.615375
FI4000517966,0.12797507608398923,0.29136780949899954,-0.24855139504778048,0.09581426248799772,0.6058614037506046,0.67075
US30233Q1085,0.04340103417919614,0.09236047550402988,-0.10222852644992975,0.04055555177241979,0.20126551179985971,0.683375
GB00B3FLWH99,0.2694270140441712,0.21081093186204505,-0.04265749986269031,0.2534117393038247,0.6311293419621953,0.92325
FR0000120859,0.27077643858903455,0.2337835683943594,-0.07342916594343783,0.2519141612795872,0.6749602720382211,0.8979375
US4781601046,0.10396327680592984,0.09852363937581322,-0.048766637927078686,0.0990513677708992,0.2728577856768737,0.86825
US4581401001,0.3077701386571266,0.1033715881422388,0.14492501244423128,0.3041031414887495,0.48013209006738244,0.9985625
BE0974363955,1.0224294448616267,1.188728347802016,-0.21422969774654566,0.7713422268248729,3.0501655349356347,0.8829375
US86881A1007,0.41714090226950806,0.19323974902465113,0.1296288436468388,0.40338770914923033,0.7544746407740365,0.992375
IT0005283640,0.1877153418458203,0.4953693274950097,-0.4088666508951806,0.10298588680243367,1.0518254726384255,0.61125
US00287Y1091,0.05394936214304547,0.08433509650980525,-0.07891731413433722,0.05019541793374894,0.19726568576904627,0.7496875
FR0000064446,0.3532961182707708,0.5447918119781587,-0.3211355301506711,0.2594984508413418,1.3293268128233933,0.7449375
LU2333563281,0.19387137413577124,0.23151293899303768,-0.1372593284459089,0.17014729371831405,0.604061304649279,0.8126875
US17275R1023,0.11344031412530298,0.10246870210214484,-0.044592487256374415,0.1080563011190343,0.28753192956487805,0.882
BE0974258874,0.12976152044845585,0.22588169349936263,-0.174025041387439,0.10824218833714033,0.49494534992643274,0.732
IT0005329815,0.12478012824463705,0.22702938303763562,-0.20923892462498062,0.10392071635458887,0.5238375704024306,0.704625
US0382221051,0.29266435409716285,0.10367356889605611,0.1309670000795435,0.288939246593091,0.46720687322672977,0.9976875
CH0100837282,0.5305534481330157,0.2712446246403116,0.126265642565661,0.5100952324805271,1.000426907621581,0.9848125
US0420682058,0.23416248251198488,0.1120294907808915,0.0610258154869684,0.22910831737665444,0.42717802864170124,0.9839375
US22160K1051,0.23724163088281747,0.089193887637694,0.0965630590145444,0.2345004503710077,0.3907160218077379,0.9966875
DE0005498901,0.7392202888106881,0.716639260439321,-0.12038627885882358,0.6205968534558264,1.9749331088449227,0.906125
DE0005772206,0.4981636850151972,0.24008089454823867,0.14032031707044912,0.479919814506083,0.9168770612786024,0.9888125
US1491231015,0.16714471920316368,0.10216200206619801,0.007173452039678534,0.16281029462200552,0.3409543208251642,0.9573125
DE0007257503,-0.012280426053778895,0.24144685629345816,-0.33055440388500884,-0.03515902262816198,0.37917526683885905,0.428
AT0000837307,0.12354148744149418,0.2703367035207288,-0.24816438135818952,0.09118417388972232,0.5933806117364161,0.6599375
US1667641005,0.11898888067528583,0.09515697027673678,-0.03278031729954132,0.11524605641470564,0.2794428868772706,0.905875
FI0009010862,0.36687324611969246,0.4120329341475554,-0.18345396680509488,0.3055759673443657,1.1158305450752457,0.836875
US80004C2008,-0.11087944567160585,0.11593520106099856,-0.28612835117918745,-0.11776668651726913,0.08786389449721,0.1525625
US5128073062,0.4147960792214959,0.11962066285512976,0.2307806719909548,0.4091424798957649,0.6157515279363063,0.9994375
DE0006968001,0.6726063411617437,0.6692451465212287,-0.1571350846295959,0.5556605133790874,1.90748277143625,0.889375
CH0363463438,0.35083847023756437,0.315152901929704,-0.09879899210336687,0.3199095476622749,0.9044734524265188,0.8920625
US3696043013,0.10692047192682032,0.10017191152748435,-0.0487672219762657,0.10219288677560258,0.27780229844704263,0.872125
GB00B63QSB39,0.2021882445684155,0.14016809931719978,-0.010534136862675627,0.19396618973328833,0.4463401989727726,0.941
FR0011049824,1.0540329663101464,0.668112932494984,0.19072606159920397,0.9559441265965076,2.245884962155071,0.9820625
US1912161007,0.13496166816324523,0.09621721429183713,-0.01564019378507282,0.1302517967971781,0.2989380165485728,0.9309375
US7427181091,0.192974604255971,0.10203978279532473,0.034820535938882,0.18977552102397222,0.3635997612027815,0.9770625
ES0105836003,0.5355160211824518,0.6192044854621124,-0.2247658314802523,0.42495020002633854,1.6658683853272096,0.8375
US4370761029,0.2392647677242719,0.09395236390610082,0.09361910288664697,0.2353275643872366,0.3978814638687357,0.9966875
GB0008976119,0.6181346377961285,1.1532725718722034,-0.20507314670955645,0.48146202669655747,1.7921299407692197,0.86475
KYG4672N1198,1.0482354377095018,0.49816003331502673,0.35553122943468607,0.9911054281794649,1.919153680026276,0.9970625
US68389X1054,0.8403355846802498,0.16456929918298766,0.5853161881528837,0.8350621095211234,1.116782792212702,1.0
US58933Y1055,0.13477308825003576,0.0938046897294257,-0.011725903973360157,0.13050593288799134,0.29483987622190605,0.935125
SE0000135485,0.7881425271342082,0.625380674581574,-0.010987417518166228,0.6970441407585778,1.8811352389267906,0.9475
US85423L1035,0.21920657892817763,0.1399526141773414,0.004319360040474862,0.21192759016665924,0.45533028939086917,0.95325
US7181721090,0.0884930073755861,0.11824735067244663,-0.09228294283300063,0.08211707181237443,0.29275334002781456,0.7848125
US09175A2069,1.2774434577417995,0.727419595541637,0.32188933696743216,1.1691199393345593,2.5960465759558757,0.99125
