,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
sigma_state,0.1092,0.0472,0.0432,0.1914,3549.5655,4098.0568,1.0024,0.0008,0.0006
vol_step_size,0.2202,0.0839,0.1099,0.3729,2135.5407,3500.6386,1.0024,0.0018,0.0015
nu_obs,15.5903,10.7744,4.1792,35.7648,10331.5007,6627.5772,1.0002,0.1031,0.1272
beta_trend,-0.1714,0.1361,-0.3882,0.0434,2825.197,3502.6391,1.0008,0.0026,0.0023
