sector,n,median_upside_pct
Industrials,343,21.78
Consumer Discretionary,207,22.59
Information Technology,196,31.56
Materials,194,25.52
Health Care,153,25.08
Consumer Staples,103,18.36
Utilities,87,9.85
Energy,86,17.05
Communication Services,77,24.92
