,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
sigma_state,0.079,0.0383,0.0288,0.1472,5503.0421,5030.7279,1.0002,0.0005,0.0004
sigma_obs,0.0871,0.0274,0.0548,0.1351,8854.8029,5789.4032,1.0,0.0003,0.0005
beta_trend,0.1063,0.043,0.0379,0.1722,5514.5393,4813.7936,1.0003,0.0006,0.0006
log_state_init,4.6588,0.1418,4.4334,4.882,9744.7603,7556.2045,1.001,0.0014,0.001
