asof_date,price_target,n_isin
2019-12-31,32.6,3
2020-03-31,3182.5,2
2020-04-30,1.875,3
2020-05-31,7.56,5
2020-06-30,21.963,22
2020-08-31,16.525,3
2020-09-30,62.86,32
2020-10-31,192.66,1
2020-12-31,50.095,958
2021-01-31,68.03,11
2021-02-28,3.8,7
2021-03-31,940.345,242
2021-12-31,118.0,3
2022-03-31,2105.7,2
2022-04-30,1.3,3
2022-05-31,8.78,5
2022-06-30,22.5,23
2022-08-31,15.02,3
2022-09-30,56.51,33
2022-10-31,112.59,1
2022-12-31,48.21,1022
2023-01-31,67.98,11
2023-02-28,6.31,5
2023-03-31,1068.15,260
2023-12-31,39.00058,3
2024-03-31,1748.9158500000003,2
2024-04-30,1.2924,3
2024-05-31,8.58,5
2024-06-30,30.683339999999998,27
2024-08-31,12.61716,3
2024-09-30,68.33261,38
2024-10-30,1.248,3
2024-10-31,73.0745,1
2024-11-30,26.766669999999998,8
2024-12-24,43.672579999999996,3
2024-12-26,51.22,3
2024-12-30,38.63856,24
2024-12-31,56.59186,1062
2025-01-01,42.19227333333333,3
2025-01-30,1.2449999999999999,3
2025-01-31,85.9284,11
2025-02-28,7.306,17
2025-03-24,1293.70444,2
2025-03-26,1243.6,2
2025-03-30,52.0,60
2025-03-31,1556.904,282
2025-04-01,1309.93578,2
2025-04-23,1.28634,3
2025-04-25,0.885,3
2025-04-30,11.436,9
2025-05-01,1.2853400000000001,3
2025-05-24,11.654,5
2025-05-26,10.27,5
2025-05-30,36.439080000000004,24
2025-05-31,9.535,9
2025-06-01,11.398,5
2025-06-23,35.77639,24
2025-06-25,27.97,24
2025-06-30,61.39865999999999,1121
2025-07-01,14.04833,32
2025-07-31,69.51948,15
2025-08-24,4.57664,3
2025-08-26,4.084,3
2025-08-28,4.0112000000000005,7
2025-08-30,71.54134,33
2025-08-31,4.6992,3
2025-09-01,4.51854,3
2025-09-23,72.296,33
2025-09-25,68.64,33
2025-09-30,92.41495,1384
2025-10-01,69.70758000000001,36
2025-10-24,69.25750000000001,1
2025-10-26,59.35,1
2025-10-31,79.05675,12
2025-11-01,71.16,1
2025-11-28,4.0756,7
2025-11-30,65.66315999999999,1069
2025-12-24,66.19682,1068
2025-12-26,58.615,1066
2025-12-31,96.1391,1363
2026-01-01,63.33904,1139
2026-01-24,77.90934,11
2026-01-26,65.49,11
2026-01-28,3.4297200000000005,7
2026-01-31,81.6667,11
2026-02-01,77.08534,11
2026-02-21,3.4711399999999997,7
2026-02-23,2.37,7
2026-02-28,1658.17242,293
2026-03-01,3.41092,7
2026-03-24,1760.8400000000001,285
2026-03-26,1547.0,284
2026-03-31,1745.3462,285
2026-04-01,1533.8833399999999,303
2026-04-30,1.56422,1
2026-05-24,1.6475000000000002,1
2026-05-26,1.49,1
2026-05-31,1.7663,1
2026-06-01,1.6134999999999997,1
2026-07-01,1.6134999999999997,1
2027-01-01,1403.7303900000002,302
