,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
sigma_state,0.0862,0.0409,0.0319,0.16,4615.5913,4842.0155,1.0014,0.0006,0.0006
sigma_obs,2.1422,0.1503,1.9149,2.3951,17013.8038,7474.118,0.9999,0.0012,0.0009
beta_trend,-0.1731,0.1153,-0.3542,0.0105,3245.0004,3714.0074,1.0009,0.0021,0.0019
