isin,er_mean,er_sd,er_p05,er_p50,er_p95,prob_pos
US67066G1040,0.2893182322186307,0.11384091946098428,0.1130117990087386,0.28359858426760715,0.48330344053250623,0.996625
IT0005496101,0.40952136994179417,0.39982553812994187,-0.12936727732985523,0.3574204033669105,1.1045779556712358,0.8798125
GB00BMXH3352,0.2435651884678627,0.7272256210164355,-0.5516142222471249,0.0839389956530246,1.5948683248890416,0.56725
US02079K3059,0.24810171656164284,0.10001771985249873,0.09118993078803832,0.24400651436510323,0.4201077053356979,0.994625
US0378331005,0.1703091151343432,0.11451047090793176,-0.008706072494500465,0.16584562149206186,0.3665657310400735,0.9419375
GB00B4W8PD74,0.9106172681062046,1.1186341624299543,-0.2953321418980411,0.655721668505406,2.9768994527276385,0.844
CA56783M1068,0.6896879595319584,0.3801839231096928,0.15336491705648853,0.646261220810353,1.3615967450155175,0.9879375
US5949181045,0.43975337725118346,0.1228264626322047,0.25048681175147214,0.43383527320676196,0.6486691690625654,0.9996875
US11135F1012,0.20704479463590442,0.11498499981164562,0.030417700428498517,0.20109696205321761,0.40400869559865904,0.9729375
US84615Q1031,0.41753927381694245,0.3563692840546369,-0.0769445299125527,0.3778093219796156,1.0426753622548335,0.9128125
US30303M1027,0.46760864226642646,0.12189936333420087,0.27732228010460325,0.46239321421337126,0.6757874444833937,0.9999375
US88160R1014,0.1933617416398837,0.13873007485341396,-0.0172632693318072,0.18522852804178197,0.4293510531566638,0.9331875
CH0210362643,1.141831879477646,16.134848797462922,0.02500380243681293,0.8269536938566153,2.2908833174853718,0.9565
GB00BLH37Y17,0.523815612632083,0.60222707049246,-0.2153980432511807,0.4219464844258872,1.5976849406928308,0.8455
LU2290523658,1.0467644404638998,0.8369173849323444,0.06509415197460919,0.9142339122315175,2.4459279264959677,0.9639375
US5951121038,0.15367906112172972,0.13514852768208874,-0.05342319581174417,0.14679743639151993,0.3856469458807553,0.8863125
US5324571083,0.24417949236767406,0.15632426749972592,0.007520091439031911,0.23588941489269413,0.5067140728929241,0.954625
US9311421039,0.24346934184630106,0.11492956198275457,0.0661997438992502,0.23874408245771403,0.43972809491506704,0.987375
AEE01456N241,0.40198417064469427,0.40422901312404563,-0.1505992345244986,0.3485895301237634,1.1304852158426393,0.865875
