isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,mcap_country_r,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos
ES0106043005,DIGIS,DIGI Spain Telecom S.A.,Europe,Europe,ES,EUR,BME,Communication Services,Diversified Telecommunication Services,Small Cap,Core,1923.64,0.18,2636.8,5.605,6.4,58.359085871498195,53.930390049079605,63.12338257247853,9.411968933362722,10.26683783048858,1.0,0.14183764495985726,,,,,2.0,9.67620288259612,3.0542404455357426,6.477708990676302,9.404144959929827,13.50687409372903,0.999875
US68236H2040,ONDS,Ondas Inc.,United States and Canada,United States and Canada,US,USD,NasdaqCM,Information Technology,Communications Equipment,Small Cap,Core,5191.41,0.23,3740.53,9.11,19.8125,51.352891736079776,48.501474110609074,54.31183863622907,4.636980432061468,7.362650980780021,1.0,1.174807903402854,-0.0666,0.1233,,0.9028,8.0,4.674260263502718,0.6785410493880946,3.7234650724936706,4.641821051108842,5.699397373931909,1.0
US3134003017,FMCC,Federal Home Loan Mortgage Corporation,United States and Canada,United States and Canada,US,USD,OTCPK,Financials,Financial Services,Mid Cap,Core,17652.95,0.1,,5.48,12.875,29.95671567219187,28.2316311529696,31.722809610773467,4.466553954779512,7.2170686831795585,1.0,1.3494525547445255,-0.4596,4.0275,2.2426,1.2913,4.0,4.75391521970967,5.1486262659435935,2.6281418210506065,4.470071319832957,7.273995298970256,0.999625
US3135861090,FNMA,Federal National Mortgage Association,United States and Canada,United States and Canada,US,USD,OTCPK,Financials,Financial Services,Large Cap,Core,34719.98,0.06,,6.05,9.85,31.94471145863816,30.062319297352662,33.9379558532861,4.280117596469116,7.0524870573234955,1.0,0.628099173553719,-0.4362,3.879,2.1842,1.3743,5.0,4.3708205120293915,1.0261126654714614,2.98960897131151,4.29101372285921,6.002390473746862,0.999875
US7789203061,SHAZ,SharonAI Holdings Inc.,United States and Canada,United States and Canada,US,USD,NasdaqCM,Information Technology,IT Services,Small Cap,Core,1782.66,0.37,930.38,49.79,113.75,184.00610572117665,175.0359609572303,193.36532473661924,2.6956438184610736,5.363356275559115,1.0,1.2845953002610966,,,,-0.7886,4.0,2.740808025913465,0.5945135820250925,2.002607142266965,2.7025160435677784,3.5716312741803633,0.9996875
US74006W2070,PRAX,Praxis Precision Medicines Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Health Care,Biotechnology,Mid Cap,Growth,10072.41,0.15,8699.66,360.76,621.6316,1298.0290525175692,1232.7572430122755,1367.800951029621,2.5980403939393586,5.236446071082169,1.0,0.723116753520346,0.224,0.6294,,1.9617,19.0,2.6190150292993275,0.38864158914266544,2.103537536660752,2.5981899515907387,3.1771260722863217,0.99990625
CNE100007CW0,3317,Shenzhen Xunce Technology Co. Ltd.,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Information Technology,IT Services,Mid Cap,Core,5425.34,0.08,5271.71,131.9,243.2501,436.55512750180003,414.8526915975807,458.6701248772467,2.3097431956163903,4.840962921140949,1.0,0.8442009097801365,1.6119,,,,5.0,2.363463054137566,0.7555733385149653,1.5823532486936522,2.314832300929541,3.2443590994964704,0.99978125
US76029N1063,REPL,Replimune Group Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Health Care,Biotechnology,Small Cap,Value,1012.61,0.44,855.31,12.06,19.3333,37.93702810812136,35.787720135730574,40.17484253032675,2.1456905562289674,4.599510781387621,1.0,0.6030928689883914,0.2407,-0.6296,,-0.1397,6.0,2.181422940256447,0.5845403767596815,1.6001627731161177,2.1461960127475805,2.8333918488508516,0.99984375
IT0004147952,NWRN,Newron Pharmaceuticals S.p.A.,Europe,Europe,IT,CHF,SWX,Health Care,Pharmaceuticals,Small Cap,Core,314.83,0.78,325.54,12.22,47.475,36.37026009509574,34.91296075220511,37.85019337103736,1.9762896968163395,4.3386324805787435,1.0,2.885024549918167,-0.4876,4.4798,-0.3859,0.3142,4.0,2.1083142715625947,2.0357989530484937,0.9381072970919213,1.972884779286068,3.531439523353706,0.99721875
KYG2646Y1044,DMRA,Damora Therapeutics Inc.,United States and Canada,United States and Canada,US,USD,NasdaqCM,Health Care,Biotechnology,Small Cap,Core,1841.67,0.36,1441.22,29.92,44.6667,84.28330900121912,79.87466066304096,89.02033703018931,1.8169555147466316,4.0770069165753595,1.0,0.4928709893048128,0.3003,-0.734,,-0.2483,9.0,1.8287100626824049,0.35187537583411665,1.4326497272899814,1.8152333028652194,2.2558429803271167,0.99990625
