,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
sigma_state,0.1312,0.0444,0.0647,0.2052,5410.5251,4169.908,1.0006,0.0006,0.0005
beta_trend,0.1189,0.0626,0.0167,0.2151,6443.5572,5880.8726,1.0004,0.0008,0.0007
