,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
sigma_state,0.1131,0.0595,0.0382,0.2242,8038.2401,6341.1839,1.0002,0.0006,0.0006
sigma_obs,1.9392,0.1474,1.7182,2.1949,9662.4585,7494.9976,1.0,0.0015,0.0011
beta_trend,0.2626,0.1062,0.0935,0.432,8601.5772,7363.4304,1.0004,0.0011,0.0008
log_state_init,3.1449,0.7429,1.9524,4.3286,9129.5454,7932.1638,1.0002,0.0078,0.0055
