metric,value
Total Stocks Analyzed,6677.0
Mean Posterior Beat Probability,0.5951962039012453
Median Posterior Beat Probability,0.5882352941176471
Stocks Classified as Likely Beat,4860.0
Mean Confidence Score,0.3789228824528258
Mean Streak Length,3.641455743597424
Stocks with Beat Streak,5908.0
Stocks with Miss Streak,769.0
