sector,n,median_upside_pct
Industrials,60,16.05
Information Technology,39,17.59
Energy,32,14.55
Materials,25,19.85
Consumer Discretionary,25,24.99
Communication Services,23,26.32
Health Care,22,20.33
Consumer Staples,21,17.48
Utilities,19,13.17
