Ticker,Name,Price,1D Chg,1D %,1Y Chg,1Y %,Z-Score,1W %,1W Chg,1M Chg,1M %,3M Chg,3M %,6M Chg,6M %,MTD Chg,MTD %,QTD Chg,QTD %,YTD Chg,YTD %,3Y Chg,3Y %,5Y Chg,5Y %,10Y Chg,10Y %,52W Low,52W High
FR2Y,France 2Y Bond Yield,2.942,-1.7,-0.0057,90.9,0.4468,-0.36,-0.0096,-2.8,24.7,0.0918,15.8,0.0566,75.2,0.3434,23.3,0.0862,23.3,0.0862,68.7,0.3046,-34.0,-0.1035,364.3,,349.5,,1.958,3.076
DE2Y,Germany 2Y Bond Yield,2.765,-1.8,-0.0065,86.1,0.4522,-0.40,-0.0108,-3.0,25.0,0.0994,12.6,0.0477,69.1,0.3332,23.0,0.0906,23.0,0.0906,64.2,0.3026,-43.7,-0.1365,351.7,,337.9,,1.862,2.894
IN2Y,India 2Y Bond Yield,5.987,6.6,0.0111,26.8,0.0469,0.96,-0.0013,-0.8,1.5,0.0025,-14.2,-0.0232,9.4,0.0160,1.8,0.0030,1.8,0.0030,19.3,0.0333,-106.1,-0.1505,174.8,0.4124,-88.9,-0.1293,5.583,6.598
IT2Y,Italy 2Y Bond Yield,3.007,0.7,0.0023,82.3,0.3768,0.12,-0.0025,-0.8,31.9,0.1186,13.8,0.0482,83.5,0.3847,28.1,0.1029,28.1,0.1029,78.3,0.3518,-72.3,-0.1938,345.1,,303.6,,2.096,3.246
JP2Y,Japan 2Y Bond Yield,1.494,-0.7,-0.0047,65.0,0.7691,-0.31,0.0346,5.0,8.5,0.0606,12.2,0.0892,24.3,0.1939,13.2,0.0969,13.2,0.0969,31.9,0.2714,150.1,,162.3,,183.8,,0.744,1.527
PT2Y,Portugal 2Y Bond Yield,2.764,-0.8,-0.0029,79.5,0.4038,-0.10,-0.0096,-2.7,24.0,0.0950,6.9,0.0256,64.8,0.3062,22.4,0.0881,22.4,0.0881,64.5,0.3044,-20.7,-0.0697,337.0,,226.9,4.5838,1.620,2.888
RU2Y,Russia 2Y Bond Yield,14.640,11.0,0.0076,87.0,0.0632,0.74,-0.0034,-5.0,62.0,0.0442,106.0,0.0781,-37.0,-0.0247,77.0,0.0555,77.0,0.0555,72.0,0.0517,529.0,0.5658,786.0,1.1593,545.0,0.5930,12.800,15.310
ZA2Y,South Africa 2Y Bond Yield,7.575,0.0,0.0000,0.0,0.0000,,0.0000,0.0,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,1.0,0.0013,292.5,0.6290,-44.5,-0.0555,,
KR2Y,South Korea 2Y Bond Yield,3.716,-0.9,-0.0024,131.5,0.5477,-0.18,0.0062,2.3,6.9,0.0189,29.9,0.0875,84.1,0.2925,5.9,0.0161,5.9,0.0161,92.2,0.3300,4.1,0.0112,245.7,1.9515,248.3,2.0138,2.315,3.868
GB2Y,United Kingdom 2Y Bond Yield,4.371,-0.9,-0.0021,45.3,0.1156,-0.15,-0.0080,-3.5,23.3,0.0562,-8.6,-0.0193,62.4,0.1665,19.5,0.0467,19.5,0.0467,66.5,0.1794,-60.4,-0.1214,428.1,47.5667,424.1,32.6231,3.500,4.760
US2Y,United States 2Y Bond Yield,4.314,-1.7,-0.0039,38.4,0.0977,-0.33,0.0084,3.6,21.6,0.0527,46.4,0.1205,73.6,0.2057,11.9,0.0284,11.9,0.0284,83.1,0.2386,-58.3,-0.1191,410.3,19.4455,359.6,5.0084,3.365,4.377
3 Year
AU3Y,Australia 3Y Bond Yield,4.580,-6.4,-0.0138,112.6,0.3260,-1.20,0.0090,4.1,21.6,0.0495,-14.9,-0.0315,33.8,0.0797,20.4,0.0466,20.4,0.0466,43.8,0.1057,65.3,0.1663,433.2,17.4677,308.1,2.0554,3.254,4.925
BR3Y,Brazil 3Y Bond Yield,14.518,-10.5,-0.0072,98.8,0.0730,-0.76,-0.0026,-3.7,15.0,0.0104,86.7,0.0636,172.3,0.1346,29.7,0.0209,29.7,0.0209,128.7,0.0973,418.2,0.4047,607.8,0.7201,220.3,0.1788,12.525,15.085
CA3Y,Canada 3Y Bond Yield,2.987,-4.3,-0.0142,12.4,0.0433,-0.92,0.0153,4.5,14.1,0.0495,2.0,0.0067,37.5,0.1436,14.6,0.0514,14.6,0.0514,32.9,0.1238,-144.7,-0.3263,242.4,4.3055,239.4,4.0371,2.378,3.211
CN3Y,China 3Y Bond Yield,1.286,0.1,0.0008,-17.9,-0.1222,0.04,-0.0031,-0.4,-0.9,-0.0069,-1.4,-0.0108,-13.7,-0.0963,-2.5,-0.0191,-2.5,-0.0191,-12.9,-0.0912,-95.0,-0.4249,-129.5,-0.5017,-119.5,-0.4817,1.255,1.613
FR3Y,France 3Y Bond Yield,3.059,-1.6,-0.0052,82.9,0.3717,-0.33,-0.0106,-3.3,26.8,0.0962,10.3,0.0348,71.1,0.3025,25.5,0.0908,25.5,0.0908,60.0,0.2438,3.3,0.0109,377.1,,357.2,,2.121,3.192
DE3Y,Germany 3Y Bond Yield,2.757,-2.0,-0.0072,77.2,0.3889,-0.45,-0.0127,-3.5,28.8,0.1165,15.0,0.0576,62.7,0.2947,26.3,0.1055,26.3,0.1055,57.4,0.2629,-13.2,-0.0457,356.9,,339.6,,1.839,2.879
IN3Y,India 3Y Bond Yield,6.250,-12.7,-0.0199,37.6,0.0640,-1.91,0.0087,5.4,6.9,0.0112,-20.8,-0.0322,13.3,0.0217,8.6,0.0140,8.6,0.0140,18.1,0.0298,-86.0,-0.1210,159.3,0.3421,-65.1,-0.0943,5.547,6.798
ID3Y,Indonesia 3Y Bond Yield,7.141,-0.1,-0.0001,101.8,0.1663,-0.01,-0.0008,-0.6,-18.2,-0.0249,90.6,0.1453,200.1,0.3893,-18.1,-0.0247,-18.1,-0.0247,190.9,0.3649,127.0,0.2163,269.9,0.6076,40.8,0.0606,4.926,7.470
IT3Y,Italy 3Y Bond Yield,3.070,-1.2,-0.0039,74.8,0.3221,-0.21,-0.0121,-3.8,30.1,0.1087,7.6,0.0255,62.3,0.2546,27.5,0.0983,27.5,0.0983,66.9,0.2788,-53.2,-0.1477,335.2,,304.9,145.1905,2.168,3.301
JP3Y,Japan 3Y Bond Yield,1.693,-0.9,-0.0053,79.0,0.8751,-0.35,0.0528,8.5,11.7,0.0741,9.4,0.0585,30.3,0.2179,14.2,0.0918,14.2,0.0918,45.3,0.3653,169.3,,183.0,,204.6,,0.802,1.727
PT3Y,Portugal 3Y Bond Yield,2.825,-1.7,-0.0060,72.0,0.3420,-0.34,-0.0082,-2.3,22.8,0.0880,9.1,0.0333,57.5,0.2556,21.8,0.0837,21.8,0.0837,67.1,0.3115,-11.8,-0.0401,343.8,,179.3,1.7374,1.817,2.938
RU3Y,Russia 3Y Bond Yield,15.070,14.0,0.0094,123.0,0.0889,1.00,-0.0105,-16.0,48.0,0.0329,126.0,0.0912,-12.0,-0.0079,60.0,0.0415,60.0,0.0415,77.0,0.0538,427.0,0.3954,829.0,1.2227,595.0,0.6524,13.040,15.540
KR3Y,South Korea 3Y Bond Yield,3.835,-3.3,-0.0085,137.5,0.5589,-0.63,-0.0088,-3.4,11.2,0.0301,30.9,0.0876,76.8,0.2504,12.8,0.0345,12.8,0.0345,88.4,0.2996,20.2,0.0556,241.6,1.7026,263.1,2.1852,2.380,3.983
ES3Y,Spain 3Y Bond Yield,2.891,-1.4,-0.0048,67.3,0.3034,-0.27,-0.0173,-5.1,24.3,0.0916,5.6,0.0198,53.8,0.2286,22.7,0.0852,22.7,0.0852,60.8,0.2663,-41.7,-0.1261,340.6,,294.1,,2.071,3.047
GB3Y,United Kingdom 3Y Bond Yield,4.453,-1.5,-0.0033,53.7,0.1372,-0.24,-0.0075,-3.4,27.2,0.0650,-1.8,-0.0040,63.7,0.1670,25.0,0.0594,25.0,0.0594,69.5,0.1850,-26.0,-0.0551,426.4,22.5619,429.3,26.8325,3.525,4.710
US3Y,United States 3Y Bond Yield,4.337,-2.4,-0.0055,45.5,0.1172,-0.45,0.0060,2.6,24.1,0.0588,46.7,0.1207,69.1,0.1895,14.9,0.0356,14.9,0.0356,79.1,0.2231,-20.5,-0.0451,395.1,10.2358,352.0,4.3084,3.361,4.413
5 Year
AU5Y,Australia 5Y Bond Yield,4.628,-6.2,-0.0132,96.7,0.2641,-1.22,0.0072,3.3,23.0,0.0523,-11.8,-0.0249,23.7,0.0540,21.9,0.0497,21.9,0.0497,32.5,0.0755,75.9,0.1962,403.3,6.7782,305.5,1.9421,3.471,4.952
BR5Y,Brazil 5Y Bond Yield,14.688,-4.3,-0.0029,91.5,0.0664,-0.32,-0.0010,-1.5,20.5,0.0142,98.5,0.0718,162.0,0.1239,37.3,0.0260,37.3,0.0260,111.7,0.0824,401.2,0.3759,619.8,0.7300,263.7,0.2189,12.850,14.992
CA5Y,Canada 5Y Bond Yield,3.177,-5.0,-0.0155,9.9,0.0322,-1.08,0.0057,1.8,16.4,0.0544,3.6,0.0115,23.1,0.0784,16.2,0.0537,16.2,0.0537,20.1,0.0675,-75.6,-0.1922,239.1,3.0420,252.0,3.8356,2.610,3.394
CN5Y,China 5Y Bond Yield,1.438,0.6,0.0042,-15.3,-0.0962,0.25,0.0042,0.6,-4.7,-0.0316,-5.0,-0.0336,-14.7,-0.0927,-0.4,-0.0028,-0.4,-0.0028,-20.5,-0.1248,-100.6,-0.4116,-130.2,-0.4752,-117.5,-0.4497,1.403,1.717
FR5Y,France 5Y Bond Yield,3.310,-1.3,-0.0039,56.8,0.2071,-0.26,-0.0117,-3.9,28.6,0.0944,17.9,0.0572,57.8,0.2117,27.5,0.0905,27.5,0.0905,45.0,0.1573,41.9,0.1448,391.3,,367.8,,2.534,3.444
DE5Y,Germany 5Y Bond Yield,2.853,-1.3,-0.0045,58.8,0.2596,-0.31,-0.0135,-3.9,27.2,0.1056,9.0,0.0327,41.2,0.1689,25.3,0.0971,25.3,0.0971,40.2,0.1640,29.6,0.1158,358.6,,335.6,,2.104,2.971
IN5Y,India 5Y Bond Yield,6.417,-0.5,-0.0008,31.6,0.0518,-0.05,-0.0043,-2.8,0.1,0.0002,-31.1,-0.0462,-0.9,-0.0014,2.6,0.0041,2.6,0.0041,10.9,0.0173,-73.1,-0.1023,71.1,0.1246,-63.3,-0.0898,5.660,7.040
ID5Y,Indonesia 5Y Bond Yield,7.353,-5.3,-0.0072,122.8,0.2005,-0.46,0.0173,12.5,25.1,0.0353,72.6,0.1096,160.3,0.2788,28.9,0.0409,28.9,0.0409,181.4,0.3275,135.9,0.2267,212.1,0.4054,53.3,0.0782,5.313,7.588
IT5Y,Italy 5Y Bond Yield,3.353,-0.4,-0.0012,61.6,0.2251,-0.07,-0.0151,-5.1,36.0,0.1204,9.6,0.0294,59.0,0.2137,35.4,0.1180,35.4,0.1180,50.5,0.1771,-30.1,-0.0824,339.5,,304.7,9.9575,2.590,3.535
JP5Y,Japan 5Y Bond Yield,2.009,-0.7,-0.0035,89.0,0.7947,-0.22,0.0312,6.1,13.1,0.0696,15.2,0.0818,33.7,0.2019,11.3,0.0596,11.3,0.0596,45.7,0.2946,185.3,11.8782,213.8,,235.5,,1.001,2.053
PT5Y,Portugal 5Y Bond Yield,3.013,-1.8,-0.0059,59.7,0.2471,-0.38,-0.0131,-4.0,24.8,0.0899,6.1,0.0207,40.3,0.1544,23.3,0.0838,23.3,0.0838,51.8,0.2076,7.3,0.0248,347.4,,125.8,0.7168,2.258,3.178
RU5Y,Russia 5Y Bond Yield,15.490,11.0,0.0072,152.0,0.1088,0.92,-0.0252,-40.0,5.0,0.0032,127.0,0.0893,33.0,0.0218,7.0,0.0045,7.0,0.0045,91.0,0.0624,541.0,0.5367,871.0,1.2847,671.0,0.7642,13.290,16.270
ZA5Y,South Africa 5Y Bond Yield,8.085,-4.0,-0.0049,-24.0,-0.0288,-0.43,-0.0043,-3.5,31.0,0.0399,-7.5,-0.0092,92.0,0.1284,18.5,0.0234,18.5,0.0234,74.0,0.1007,-80.0,-0.0900,70.0,0.0948,4.0,0.0050,7.010,8.745
KR5Y,South Korea 5Y Bond Yield,4.079,-4.3,-0.0104,146.5,0.5604,-0.74,-0.0097,-4.0,13.3,0.0337,36.0,0.0968,72.1,0.2147,16.1,0.0411,16.1,0.0411,84.4,0.2609,43.8,0.1203,243.9,1.4872,286.1,2.3489,2.500,4.225
ES5Y,Spain 5Y Bond Yield,3.049,-2.0,-0.0065,55.8,0.2240,-0.41,-0.0153,-4.7,25.2,0.0901,3.8,0.0126,56.2,0.2260,24.1,0.0859,24.1,0.0859,49.6,0.1943,-18.0,-0.0557,343.3,,284.1,13.6587,2.319,3.193
GB5Y,United Kingdom 5Y Bond Yield,4.533,-2.2,-0.0048,45.1,0.1106,-0.39,-0.0114,-5.2,25.2,0.0589,-0.5,-0.0010,53.8,0.1347,22.8,0.0531,22.8,0.0531,60.5,0.1541,12.5,0.0284,424.6,14.7955,423.6,14.2636,3.678,4.723
US5Y,United States 5Y Bond Yield,4.392,-1.8,-0.0041,41.4,0.1041,-0.34,0.0034,1.5,25.9,0.0627,40.5,0.1016,56.0,0.1461,15.8,0.0373,15.8,0.0373,66.0,0.1768,19.7,0.0470,365.2,4.9351,329.8,3.0146,3.481,4.478
7Y
AU7Y,Australia 7Y Bond Yield,4.773,-5.1,-0.0106,77.9,0.1950,-1.06,0.0063,3.0,24.0,0.0529,-11.1,-0.0227,18.5,0.0403,23.4,0.0516,23.4,0.0516,24.9,0.0550,81.8,0.2068,391.7,4.5759,306.2,1.7896,3.789,5.056
CA7Y,Canada 7Y Bond Yield,3.279,-5.0,-0.0150,-3.7,-0.0112,-1.12,0.0043,1.4,16.9,0.0543,2.3,0.0071,14.3,0.0456,16.7,0.0537,16.7,0.0537,10.6,0.0334,-41.2,-0.1116,233.3,2.4662,247.7,3.0885,2.801,3.502
CN7Y,China 7Y Bond Yield,1.570,0.5,0.0032,-11.7,-0.0694,0.21,-0.0044,-0.7,-4.5,-0.0279,-6.9,-0.0421,-12.8,-0.0754,-2.3,-0.0144,-2.3,-0.0144,-18.4,-0.1049,-105.5,-0.4019,-135.3,-0.4629,-124.7,-0.4427,1.525,1.830
FR7Y,France 7Y Bond Yield,3.516,-1.1,-0.0032,57.2,0.1944,-0.23,-0.0117,-4.2,28.9,0.0895,15.3,0.0456,50.5,0.1678,27.1,0.0836,27.1,0.0836,37.2,0.1183,66.3,0.2326,394.3,,374.5,,2.802,3.647
DE7Y,Germany 7Y Bond Yield,2.969,-1.0,-0.0034,55.3,0.2289,-0.25,-0.0134,-4.0,30.3,0.1137,10.8,0.0377,38.0,0.1466,23.9,0.0876,23.9,0.0876,37.7,0.1454,53.4,0.2193,358.0,,340.0,,2.253,3.074
IN7Y,India 7Y Bond Yield,6.600,-1.4,-0.0021,26.6,0.0420,-0.35,-0.0042,-2.8,-3.1,-0.0047,-44.4,-0.0630,-6.0,-0.0090,1.1,0.0017,1.1,0.0017,3.5,0.0053,-55.9,-0.0781,23.9,0.0376,-55.7,-0.0778,6.281,7.966
IT7Y,Italy 7Y Bond Yield,3.576,-0.1,-0.0003,46.6,0.1498,-0.02,-0.0125,-4.5,31.9,0.0978,2.5,0.0069,47.7,0.1538,31.2,0.0955,31.2,0.0955,48.1,0.1554,-27.3,-0.0709,335.9,15.4793,290.9,4.3613,2.911,3.816
