Name,Currency,Issuer,ISIN,Sector,Maturity,S&P Rating,Coupon,Coupon frequency,YTM (Ask),Ask,Minimum size,Country of issue,Amount issued,Increment size,Subordinated,EU Tax,W/Tax,Accrued days,Accrued interest
MONGOLIA 8.65% 19.01.2028,USD,Government of Mongolia,USY6142NAG35,Sovereign,2028-01-19,BB-,8.650,Semi-Annual,4.857,106.250,200000,Mongolia,220123000,1000,No,Yes,No,106.000,2.547
MONGOLIA 6.625% 25.02.2030,USD,Government of Mongolia,USY6142NAJ73,Sovereign,2030-02-25,BB-,6.630,Semi-Annual,5.692,103.140,200000,Mongolia,500000000,1000,No,Yes,No,70.000,1.288
MONGOLIA 5.95% 09.03.2032,USD,Government of Mongolia,USY6142NAL20,Sovereign,2032-09-03,BB-,5.950,Semi-Annual,5.694,101.125,200000,Mongolia,500000000,1000,No,Yes,No,56.000,0.926
MONGOLIA 3.5% 07.07.2027,USD,Government of Mongolia,USY6142NAF51,Sovereign,2027-07-07,BB-,3.500,Semi-Annual,5.165,98.250,200000,Mongolia,342442000,1000,No,Yes,No,118.000,1.147
SOUTH KOREA 3.625% 12.02.2029,USD,Government of the Republic of Korea,US50064FAZ71,Sovereign,2029-12-02,AA,3.630,Semi-Annual,3.990,98.891,200000,Korea,1000000000,1000,No,Yes,No,83.000,0.836
SOUTH KOREA 2.25% 03.07.2028,EUR,Government of the Republic of Korea,XS3095441021,Sovereign,2028-03-07,AA,2.250,Annual,2.718,98.802,100000,Korea,700000000,1000,No,Yes,No,307.000,1.893
SOUTH KOREA 4.51% 10.12.2029,AUD,Government of the Republic of Korea,AU3CB0316420,Sovereign,2029-10-12,AA,4.510,Semi-Annual,5.042,98.260,10000,Korea,450000000,10000,No,Yes,No,147.000,1.821
SOUTH KOREA 2.75% 19.01.2027,USD,Government of the Republic of Korea,US50064FAM68,Sovereign,2027-01-19,AA,2.750,Semi-Annual,4.009,99.091,200000,Korea,1000000000,1000,No,Yes,No,106.000,0.810
SOUTH KOREA 4.5% 03.07.2029,USD,Government of the Republic of Korea,US50064FAX24,Sovereign,2029-03-07,AA,4.500,Semi-Annual,4.080,101.030,200000,Korea,1000000000,1000,No,Yes,No,122.000,1.525
SOUTH KOREA 3.625% 29.10.2030,USD,Government of the Republic of Korea,US50064FAY07,Sovereign,2030-10-29,AA,3.630,Semi-Annual,4.089,97.873,200000,Korea,1000000000,1000,No,Yes,No,6.000,0.060
SOUTH KOREA 2.5% 19.06.2029,USD,Government of the Republic of Korea,US50064FAQ72,Sovereign,2029-06-19,NaN,2.500,Semi-Annual,4.054,95.299,200000,Korea,1000000000,1000,No,Yes,No,136.000,0.944
SOUTH KOREA 3.875% 12.02.2031,USD,Government of the Republic of Korea,US50064FBA12,Sovereign,2031-12-02,AA,3.880,Semi-Annual,4.125,98.669,200000,Korea,2000000000,1000,No,Yes,No,83.000,0.893
SOUTH KOREA 2.875% 03.07.2032,EUR,Government of the Republic of Korea,XS3095441377,Sovereign,2032-03-07,AA,2.880,Annual,3.091,98.505,100000,Korea,700000000,1000,No,Yes,No,307.000,2.418
SOUTH KOREA 0% 15.10.2026,EUR,Government of the Republic of Korea,XS2376820259,Sovereign,2026-10-15,AA,0.000,NaN,2.587,98.795,100000,Korea,700000000,1000,No,Yes,No,201.000,0.000
SOUTH KOREA 1% 16.09.2030,USD,Government of the Republic of Korea,US50064FAS39,Sovereign,2030-09-16,AA,1.000,Semi-Annual,4.093,87.509,200000,Korea,625000000,1000,No,Yes,No,49.000,0.136
SOUTH KOREA 1.75% 15.10.2031,USD,Government of the Republic of Korea,US50064FAU84,Sovereign,2031-10-15,AA,1.750,Semi-Annual,4.137,88.243,200000,Korea,500000000,1000,No,Yes,No,20.000,0.097
SOUTH KOREA 3.5% 20.09.2028,USD,Government of the Republic of Korea,US50064FAP99,Sovereign,2028-09-20,AA,3.500,Semi-Annual,4.066,98.596,200000,Korea,500000000,1000,No,Yes,No,45.000,0.438
LUXEMBOURG 2.875% 01.03.2034,EUR,Grand Duchy of Luxembourg,LU2773894873,Sovereign,2034-01-03,AAA,2.880,Annual,3.054,98.435,1000,Luxembourg,1250000000,1000,No,Yes,No,66.000,0.520
LUXEMBOURG 3.125% 24.03.2036,EUR,Grand Duchy of Luxembourg,LU3315368814,Sovereign,2036-03-24,AAA,3.130,Annual,3.226,98.802,1000,Luxembourg,2500000000,1000,No,Yes,No,43.000,0.368
LUXEMBOURG 0.625% 01.02.2027,EUR,Grand Duchy of Luxembourg,LU1556942974,Sovereign,2027-01-02,AAA,0.630,Annual,2.530,98.549,1000,Luxembourg,2000000000,1000,No,Yes,No,94.000,0.161
LUXEMBOURG 2.625% 23.10.2034,EUR,Grand Duchy of Luxembourg,LU2922074849,Sovereign,2034-10-23,AAA,2.630,Annual,3.101,96.168,1000,Luxembourg,1250000000,1000,No,Yes,No,195.000,1.402
LUXEMBOURG 3% 02.03.2033,EUR,Grand Duchy of Luxembourg,LU2591860569,Sovereign,2033-02-03,AAA,3.000,Annual,2.977,99.816,1000,Luxembourg,1250000000,1000,No,Yes,No,65.000,0.534
LUXEMBOURG 0% 13.11.2026,EUR,Grand Duchy of Luxembourg,LU2076841712,Sovereign,2026-11-13,AAA,0.000,Annual,2.459,98.721,1000,Luxembourg,1700000000,1000,No,Yes,Yes,363.000,0.000
LUXEMBOURG 0% 28.04.2030,EUR,Grand Duchy of Luxembourg,LU2162831981,Sovereign,2030-04-28,AAA,0.000,Annual,2.876,89.132,1000,Luxembourg,1000000000,1000,No,Yes,Yes,197.000,0.000
LUXEMBOURG 1.375% 25.05.2029,EUR,Grand Duchy of Luxembourg,LU2475493826,Sovereign,2029-05-25,AAA,1.380,Annual,2.842,95.607,1000,Luxembourg,1250000000,1000,No,Yes,No,346.000,1.303
LUXEMBOURG 2.9% 17.09.2035,EUR,Grand Duchy of Luxembourg,LU3182454440,Sovereign,2035-09-17,AAA,2.900,Annual,3.174,97.411,1000,Luxembourg,2500000000,1000,No,Yes,No,231.000,1.835
LUXEMBOURG 0% 14.09.2032,EUR,Grand Duchy of Luxembourg,LU2228213398,Sovereign,2032-09-14,AAA,0.000,Annual,2.960,82.790,1000,Luxembourg,1500000000,1000,No,Yes,No,58.000,0.000
LUXEMBOURG 2.25% 19.03.2028,EUR,Grand Duchy of Luxembourg,LU0905090048,Sovereign,2028-03-19,AAA,2.250,Annual,2.666,99.109,1000,Luxembourg,750000000,1000,No,Yes,No,48.000,0.296
LUXEMBOURG 0% 24.03.2031,EUR,Grand Duchy of Luxembourg,LU2320463339,Sovereign,2031-03-24,AAA,0.000,Annual,2.934,86.580,1000,Luxembourg,2500000000,1000,No,Yes,No,232.000,0.000
GRENADA 7% 12.05.2030,USD,Grenada,USP48863AE77,Sovereign,2030-12-05,NaN,7.000,Semi-Annual,7.810,97.250,100,Grenada,51964999,100,No,Yes,No,173.000,3.364
GREECE 0% 10.07.2026,EUR,Hellenic Republic,GR0000247537,Sovereign,2026-10-07,NaN,0.000,NaN,2.068,99.540,1000,Greece,500000000,1000,No,Yes,Yes,22.000,0.000
GREECE 6.14% 14.04.2028,EUR,Hellenic Republic,XS0110307930,Sovereign,2028-04-14,BBB,6.140,Annual,2.958,105.772,100000,Greece,200000000,100000,No,No,No,22.000,0.375
GREECE 0% 24.07.2026,EUR,Hellenic Republic,GR0002284538,Sovereign,2026-07-24,NaN,0.000,NaN,2.098,99.530,1000,Greece,500000000,1000,No,Yes,Yes,103.000,0.000
GREECE 0% 29.05.2026,EUR,Hellenic Republic,GR0002281500,Sovereign,2026-05-29,NaN,0.000,NaN,2.094,99.860,1000,Greece,600000000,1000,No,Yes,Yes,159.000,0.000
GREECE 0% 05.03.2027,EUR,Hellenic Republic,GR0004143690,Sovereign,2027-05-03,NaN,0.000,NaN,2.387,98.020,1000,Greece,500000000,1000,No,Yes,Yes,61.000,0.000
GREECE 0% 25.09.2026,EUR,Hellenic Republic,GR0002286558,Sovereign,2026-09-25,NaN,0.000,NaN,2.280,99.110,1000,Greece,500000000,1000,No,Yes,Yes,40.000,0.000
GREECE 3.75% 30.01.2028,EUR,Hellenic Republic,GR0124034688,Sovereign,2028-01-30,BBB,3.750,Annual,2.598,101.815,1,Greece,5962747327,1,No,Yes,No,96.000,0.986
GREECE 0% 21.08.2026,EUR,Hellenic Republic,GR0002285543,Sovereign,2026-08-21,NaN,0.000,NaN,2.169,99.360,1000,Greece,500000000,1000,No,Yes,Yes,75.000,0.000
GREECE 5.2% 17.07.2034,EUR,Hellenic Republic,XS0191352847,Sovereign,2034-07-17,BBB,5.200,Annual,4.029,107.592,1000,Greece,313860000,1000,No,Yes,No,293.000,4.174
GREECE 0% 26.06.2026,EUR,Hellenic Republic,GR0002282516,Sovereign,2026-06-26,NaN,0.000,NaN,2.095,99.700,1000,Greece,500000000,1000,No,Yes,Yes,128.000,0.000
GREECE 0% 04.09.2026,EUR,Hellenic Republic,GR0004141678,Sovereign,2026-04-09,NaN,0.000,NaN,2.330,99.220,1000,Greece,600000000,1000,No,Yes,Yes,243.000,0.000
GREECE 0% 31.07.2026,EUR,Hellenic Republic,GR0000248543,Sovereign,2026-07-31,NaN,0.000,NaN,2.173,99.450,1000,Greece,500000000,1000,No,Yes,Yes,2.000,0.000
GREECE 0% 23.10.2026,EUR,Hellenic Republic,GR0002287564,Sovereign,2026-10-23,NaN,0.000,NaN,2.364,98.900,1000,Greece,500000000,1000,No,Yes,Yes,12.000,0.000
GREECE 3.9% 30.01.2033,EUR,Hellenic Republic,GR0128015725,Sovereign,2033-01-30,BBB,3.900,Annual,3.329,102.928,1,Greece,7067309386,1,No,Yes,No,96.000,1.026
GREECE 0% 05.06.2026,EUR,Hellenic Republic,GR0004140662,Sovereign,2026-05-06,NaN,0.000,NaN,2.184,99.830,1000,Greece,600000000,1000,No,Yes,Yes,334.000,0.000
GREECE 0% 04.12.2026,EUR,Hellenic Republic,GR0004142684,Sovereign,2026-04-12,NaN,0.000,NaN,2.224,98.710,1000,Greece,600000000,1000,No,Yes,Yes,152.000,0.000
HUNGARY 0.125% 21.09.2028,EUR,Hungary,XS2386583145,Sovereign,2028-09-21,BBB-,0.130,Annual,3.059,93.341,100000,Hungary,1000000000,1000,No,Yes,No,227.000,0.078
HUNGARY 3% 27.10.2027,HUF,Hungary,HU0000403118,Sovereign,2027-10-27,BBB-,3.000,Annual,5.806,96.127,10000,Hungary,1501206850000,10000,No,Yes,No,191.000,1.570
HUNGARY 0% 23.12.2026,HUF,Hungary,HU0000525241,Sovereign,2026-12-23,NaN,0.000,NaN,5.780,96.489,10000,Hungary,274655391472,10000,No,Yes,No,134.000,0.000
HUNGARY 0% 17.02.2027,HUF,Hungary,HU0000525266,Sovereign,2027-02-17,NaN,0.000,NaN,5.826,95.620,10000,Hungary,133158832725,10000,No,Yes,No,77.000,0.000
HUNGARY 6.5% 29.08.2029,HUF,Hungary,HU0000407101,Sovereign,2029-08-29,NaN,6.500,Annual,5.827,102.002,1,Hungary,42966806916,1,No,Yes,No,250.000,4.452
HUNGARY 6% 28.11.2029,HUF,Hungary,HU0000407150,Sovereign,2029-11-28,NaN,6.000,Annual,5.824,100.581,1,Hungary,28858228955,1,No,Yes,No,159.000,2.614
HUNGARY 6.75% 22.10.2028,HUF,Hungary,HU0000402532,Sovereign,2028-10-22,BBB-,6.750,Annual,5.860,102.005,10000,Hungary,2025188880000,10000,No,Yes,No,196.000,3.625
HUNGARY 6.75% 23.07.2031,HUF,Hungary,HU0000407317,Sovereign,2031-07-23,NaN,6.750,Annual,5.834,104.052,10000,Hungary,966537020000,10000,No,Yes,No,385.000,7.118
HUNGARY 4.5% 27.05.2032,HUF,Hungary,HU0000405535,Sovereign,2032-05-27,NaN,4.500,Annual,5.891,93.272,10000,Hungary,525847630000,10000,No,Yes,No,344.000,4.241
HUNGARY 6% 28.11.2029,HUF,Hungary,HU0000407424,Sovereign,2029-11-28,NaN,6.000,Annual,5.884,100.437,10000,Hungary,456151380000,10000,No,Yes,No,159.000,2.614
HUNGARY 5.375% 12.09.2033,EUR,Hungary,XS2680932907,Sovereign,2033-12-09,BBB-,5.380,Annual,4.092,107.836,1000,Hungary,1750000000,1000,No,Yes,No,236.000,3.475
HUNGARY 7% 22.01.2027,HUF,Hungary,HU0000406921,Sovereign,2027-01-22,NaN,7.000,Quarterly,5.981,100.813,1,Hungary,240868429440,1,No,Yes,No,14.000,0.269
HUNGARY 0% 24.06.2026,HUF,Hungary,HU0000525183,Sovereign,2026-06-24,NaN,0.000,NaN,5.960,99.206,10000,Hungary,687215459229,10000,No,Yes,No,315.000,0.000
HUNGARY 6.5% 25.04.2030,HUF,Hungary,HU0000407333,Sovereign,2030-04-25,NaN,6.500,Quarterly,5.900,102.644,1,Hungary,85462292639,1,No,Yes,No,11.000,0.197
HUNGARY 0% 19.08.2026,HUF,Hungary,HU0000525209,Sovereign,2026-08-19,NaN,0.000,NaN,5.984,98.373,10000,Hungary,588965735013,10000,No,Yes,No,258.000,0.000
HUNGARY 6% 26.09.2035,USD,Hungary,XS3101499260,Sovereign,2035-09-26,BBB-,6.000,Semi-Annual,5.386,104.076,200000,Hungary,1000000000,1000,No,Yes,No,40.000,0.667
HUNGARY 4.25% 16.06.2031,EUR,Hungary,XS2010026214,Sovereign,2031-06-16,BBB-,4.250,Annual,3.509,103.215,100000,Hungary,750000000,1000,No,Yes,No,324.000,3.773
HUNGARY 0% 28.04.2027,HUF,Hungary,HU0000525282,Sovereign,2027-04-28,NaN,0.000,NaN,5.794,94.637,10000,Hungary,60000000000,10000,No,Yes,No,7.000,0.000
HUNGARY 4% 25.07.2029,EUR,Hungary,XS2753429047,Sovereign,2029-07-25,BBB-,4.000,Annual,3.175,102.355,1000,Hungary,1500000000,1000,No,Yes,No,285.000,3.123
HUNGARY 2.75% 22.12.2026,HUF,Hungary,HU0000403340,Sovereign,2026-12-22,NaN,2.750,Annual,5.626,98.251,10000,Hungary,813935530000,10000,No,Yes,No,135.000,1.017
HUNGARY 5.25% 16.06.2029,USD,Hungary,XS2010026305,Sovereign,2029-06-16,BBB-,5.250,Semi-Annual,4.644,101.579,200000,Hungary,1750000000,1000,No,Yes,No,140.000,2.042
HUNGARY 7% 22.07.2027,HUF,Hungary,HU0000407085,Sovereign,2027-07-22,NaN,7.000,Quarterly,5.892,101.436,1,Hungary,153083858837,1,No,Yes,No,14.000,0.269
HUNGARY 6.25% 22.09.2032,USD,Hungary,XS2574267261,Sovereign,2032-09-22,BBB-,6.250,Semi-Annual,4.965,106.904,200000,Hungary,1800000000,1000,No,Yes,No,44.000,0.764
HUNGARY 4.75% 24.11.2032,HUF,Hungary,HU0000405550,Sovereign,2032-11-24,NaN,4.750,Annual,5.921,93.938,10000,Hungary,1571258670000,10000,No,Yes,No,163.000,2.121
HUNGARY 4.5% 16.06.2034,EUR,Hungary,XS2971936948,Sovereign,2034-06-16,BBB-,4.500,Annual,4.119,102.695,1000,Hungary,1500000000,1000,No,Yes,No,324.000,3.994
HUNGARY 5.5% 26.03.2036,USD,Hungary,XS2744128369,Sovereign,2036-03-26,BBB-,5.500,Semi-Annual,5.451,100.302,200000,Hungary,2500000000,1000,No,Yes,No,40.000,0.611
HUNGARY 6.75% 23.07.2027,HUF,Hungary,HU0000407119,Sovereign,2027-07-23,NaN,6.750,Quarterly,5.892,101.130,1,Hungary,106943132515,1,No,Yes,No,13.000,0.241
HUNGARY 6.25% 26.09.2029,HUF,Hungary,HU0000407127,Sovereign,2029-09-26,NaN,6.250,Annual,5.826,101.296,1,Hungary,36761703051,1,No,Yes,No,222.000,3.801
HUNGARY 5.375% 26.09.2030,USD,Hungary,XS3101499187,Sovereign,2030-09-26,BBB-,5.380,Semi-Annual,4.728,102.442,200000,Hungary,1500000000,1000,No,Yes,No,40.000,0.597
HUNGARY 2.25% 20.04.2033,HUF,Hungary,HU0000404744,Sovereign,2033-04-20,NaN,2.250,Annual,5.879,79.979,10000,Hungary,1513594420000,10000,No,Yes,No,16.000,0.099
HUNGARY 6% 27.12.2029,HUF,Hungary,HU0000407176,Sovereign,2029-12-27,NaN,6.000,Annual,5.844,100.536,1,Hungary,30860299525,1,No,Yes,No,130.000,2.137
HUNGARY 9.5% 21.10.2026,HUF,Hungary,HU0000406160,Sovereign,2026-10-21,NaN,9.500,Annual,5.847,101.544,10000,Hungary,739397110000,10000,No,Yes,No,197.000,5.127
HUNGARY 6.5% 20.07.2028,HUF,Hungary,HU0000407408,Sovereign,2028-07-20,NaN,6.500,Quarterly,5.796,101.718,1,Hungary,258184759140,1,No,Yes,No,16.000,0.287
HUNGARY 6.5% 21.01.2028,HUF,Hungary,HU0000407200,Sovereign,2028-01-21,NaN,6.500,Quarterly,5.878,101.239,1,Hungary,579353774427,1,No,Yes,No,15.000,0.269
HUNGARY 1.625% 28.04.2032,EUR,Hungary,XS2161992511,Sovereign,2032-04-28,BBB-,1.630,Annual,3.544,89.747,1000,Hungary,1000000000,1000,No,Yes,No,8.000,0.036
HUNGARY 6.5% 25.07.2029,HUF,Hungary,HU0000407093,Sovereign,2029-07-25,NaN,6.500,Annual,5.828,101.952,1,Hungary,41083307380,1,No,Yes,No,285.000,5.075
HUNGARY 6.5% 27.04.2028,HUF,Hungary,HU0000407325,Sovereign,2028-04-27,NaN,6.500,Quarterly,5.784,101.572,1,Hungary,362975296309,1,No,Yes,No,9.000,0.161
HUNGARY 2% 23.05.2029,HUF,Hungary,HU0000404603,Sovereign,2029-05-23,NaN,2.000,Annual,5.870,89.525,10000,Hungary,2055916230000,10000,No,Yes,No,348.000,1.907
HUNGARY 6.5% 22.10.2027,HUF,Hungary,HU0000407143,Sovereign,2027-10-22,NaN,6.500,Quarterly,5.775,101.192,1,Hungary,226555749620,1,No,Yes,No,14.000,0.251
HUNGARY 6.5% 20.01.2028,HUF,Hungary,HU0000407192,Sovereign,2028-01-20,NaN,6.500,Quarterly,5.929,101.159,10000,Hungary,71054815733,10000,No,Yes,No,16.000,0.287
HUNGARY 7% 24.10.2035,HUF,Hungary,HU0000406624,Sovereign,2035-10-24,NaN,7.000,Annual,5.959,107.826,10000,Hungary,2329542190000,10000,No,Yes,No,194.000,3.720
HUNGARY 0.5% 18.11.2030,EUR,Hungary,XS2259191273,Sovereign,2030-11-18,BBB-,0.500,Annual,3.198,88.689,1000,Hungary,1250000000,1000,No,Yes,No,169.000,0.232
HUNGARY 1.75% 10.10.2027,EUR,Hungary,XS1696445516,Sovereign,2027-10-10,BBB-,1.750,Annual,2.945,98.180,1000,Hungary,1000000000,1000,No,Yes,No,208.000,0.997
HUNGARY 2.25% 22.06.2034,HUF,Hungary,HU0000404892,Sovereign,2034-06-22,NaN,2.250,Annual,5.873,77.470,10000,Hungary,959499650000,10000,No,Yes,No,318.000,1.960
HUNGARY 5.5% 16.06.2034,USD,Hungary,XS2010026487,Sovereign,2034-06-16,BBB-,5.500,Semi-Annual,5.249,101.513,200000,Hungary,1250000000,1000,No,Yes,No,140.000,2.139
HUNGARY 4.25% 26.05.2033,EUR,Hungary,XS3269554690,Sovereign,2033-05-26,BBB-,4.250,Annual,3.958,101.707,1000,Hungary,2000000000,1000,No,Yes,No,112.000,1.304
HUNGARY 2.125% 22.09.2031,USD,Hungary,XS2388586401,Sovereign,2031-09-22,BBB-,2.130,Semi-Annual,4.898,86.813,200000,Hungary,2250000000,1000,No,Yes,No,44.000,0.260
HUNGARY 4.5% 23.03.2028,HUF,Hungary,HU0000405543,Sovereign,2028-03-23,NaN,4.500,Annual,5.838,97.701,10000,Hungary,1358130690000,10000,No,Yes,No,44.000,0.542
HUNGARY 1.5% 26.08.2026,HUF,Hungary,HU0000404934,Sovereign,2026-08-26,NaN,1.500,Annual,5.674,98.755,10000,Hungary,600345570000,10000,No,Yes,No,253.000,1.040
HUNGARY 7% 22.04.2027,HUF,Hungary,HU0000407069,Sovereign,2027-04-22,NaN,7.000,Quarterly,6.028,101.023,1,Hungary,202288570177,1,No,Yes,No,14.000,0.269
HUNGARY 5.75% 30.01.2030,HUF,Hungary,HU0000407184,Sovereign,2030-01-30,NaN,5.750,Annual,5.873,99.645,10000,Hungary,54469607604,10000,No,Yes,No,96.000,1.512
HUNGARY 3% 21.08.2030,HUF,Hungary,HU0000403696,Sovereign,2030-08-21,NaN,3.000,Annual,5.847,89.587,10000,Hungary,2086829880000,10000,No,Yes,No,258.000,2.120
HUNGARY 1.75% 05.06.2035,EUR,Hungary,XS2181689659,Sovereign,2035-05-06,BBB-,1.750,Annual,4.091,82.444,1000,Hungary,1500000000,1000,No,Yes,No,335.000,1.606
HUNGARY 6% 24.10.2029,HUF,Hungary,HU0000407135,Sovereign,2029-10-24,NaN,6.000,Annual,5.825,100.561,1,Hungary,33797245424,1,No,Yes,No,194.000,3.189
HUNGARY 3.25% 22.10.2031,HUF,Hungary,HU0000403001,Sovereign,2031-10-22,BBB-,3.250,Annual,5.849,88.314,10000,Hungary,1989656370000,10000,No,Yes,No,196.000,1.745
HUNGARY 0% 27.05.2026,HUF,Hungary,HU0000525258,Sovereign,2026-05-27,NaN,0.000,NaN,6.010,99.655,10000,Hungary,403530042050,10000,No,Yes,No,98.000,0.000
HUNGARY 0% 22.07.2026,HUF,Hungary,HU0000525274,Sovereign,2026-07-22,NaN,0.000,NaN,5.980,98.754,10000,Hungary,103766052711,10000,No,Yes,No,42.000,0.000
HUNGARY 5.75% 27.02.2030,HUF,Hungary,HU0000407234,Sovereign,2030-02-27,NaN,5.750,Annual,5.902,99.550,1,Hungary,49496559542,1,No,Yes,No,68.000,1.071
HUNGARY 6.125% 22.05.2028,USD,Hungary,XS2574267188,Sovereign,2028-05-22,BBB-,6.130,Semi-Annual,4.550,103.013,200000,Hungary,2150000000,1000,No,Yes,No,164.000,2.790
HUNGARY 5% 22.02.2027,EUR,Hungary,XS2558594391,Sovereign,2027-02-22,BBB-,5.000,Annual,2.774,101.746,1000,Hungary,1000000000,1000,No,Yes,No,73.000,1.000
HUNGARY 6.5% 24.02.2028,HUF,Hungary,HU0000407267,Sovereign,2028-02-24,NaN,6.500,Quarterly,5.774,101.445,1,Hungary,408903323667,1,No,Yes,No,71.000,1.300
HUNGARY 6.5% 25.07.2030,HUF,Hungary,HU0000407416,Sovereign,2030-07-25,NaN,6.500,Quarterly,5.898,102.801,1,Hungary,64328044319,1,No,Yes,No,11.000,0.197
HUNGARY 0% 28.10.2026,HUF,Hungary,HU0000525225,Sovereign,2026-10-28,NaN,0.000,NaN,5.979,97.234,10000,Hungary,531830511268,10000,No,Yes,No,189.000,0.000
HUNGARY 6.5% 27.06.2029,HUF,Hungary,HU0000407077,Sovereign,2029-06-27,NaN,6.500,Annual,5.829,101.915,1,Hungary,41365307764,1,No,Yes,No,313.000,5.574
HUNGARY 7% 24.10.2030,HUF,Hungary,HU0000407465,Sovereign,2030-10-24,NaN,7.000,Quarterly,5.895,104.929,1,Hungary,470406086571,1,No,Yes,No,12.000,0.231
PAPUA NEW GUINEA 8.375% 04.10.2028,USD,Independent State of Papua New Guinea,USY6726SAP66,Sovereign,2028-04-10,B-,8.380,Semi-Annual,5.622,106.500,200000,Papua New Guinea,500000000,1000,No,Yes,No,31.000,0.721
IRELAND 1% 15.05.2026,EUR,Ireland,IE00BV8C9418,Sovereign,2026-05-15,AA+,1.000,Annual,2.377,100.033,0,Ireland,11638750000,0,No,Yes,No,356.000,0.975
IRELAND 0% 18.10.2031,EUR,Ireland,IE00BMQ5JL65,Sovereign,2031-10-18,AA+,0.000,Annual,2.859,85.548,0,Ireland,8893470000,0,No,Yes,No,200.000,0.000
IRELAND 0.2% 15.05.2027,EUR,Ireland,IE00BKFVC568,Sovereign,2027-05-15,AA+,0.200,Annual,2.496,97.765,0,Ireland,7750500000,0,No,Yes,No,356.000,0.195
IRELAND 0.4% 15.05.2035,EUR,Ireland,IE00BKFVC345,Sovereign,2035-05-15,AA+,0.400,Annual,3.163,78.204,0,Ireland,5365750000,0,No,Yes,No,356.000,0.390
IRELAND 0.9% 15.05.2028,EUR,Ireland,IE00BDHDPR44,Sovereign,2028-05-15,AA+,0.900,Annual,2.645,96.589,0,Ireland,8458000000,0,No,Yes,No,356.000,0.878
PAKISTAN 7.875% 31.03.2036,USD,Islamic Republic of Pakistan,USY8793YAL66,Sovereign,2036-03-31,B-,7.880,Semi-Annual,8.381,96.875,100000,Pakistan,300000000,1000,No,Yes,No,35.000,0.766
PAKISTAN 6.875% 05.12.2027,USD,Islamic Republic of Pakistan,XS1729875598,Sovereign,2027-05-12,B-,6.880,Semi-Annual,6.029,101.250,200000,Pakistan,1500000000,1000,No,Yes,No,151.000,2.884
PAKISTAN 6.975% 24.04.2029,USD,Islamic Republic of Pakistan,XS3353905121,Sovereign,2029-04-24,NaN,6.980,Semi-Annual,7.355,99.375,200000,Pakistan,118316000,1000,No,Yes,No,4.000,0.077
PAKISTAN 7.375% 08.04.2031,USD,Islamic Republic of Pakistan,XS2322319638,Sovereign,2031-08-04,NaN,7.380,Semi-Annual,8.029,97.625,200000,Pakistan,1400000000,1000,No,Yes,No,28.000,0.574
PAKISTAN 6.975% 24.04.2029,USD,Islamic Republic of Pakistan,XS3353874145,Sovereign,2029-04-24,NaN,6.980,Semi-Annual,7.307,99.375,200000,Pakistan,750000000,1000,No,Yes,No,4.000,0.077
ISLE OF MAN 5.375% 14.08.2034,GBP,Isle of Man,XS0133431360,Sovereign,2034-08-14,NR,5.380,Annual,5.385,99.953,1000,Isle Of Man,185000000,1000,No,Yes,No,265.000,3.902
ISLE OF MAN 5.625% 29.03.2030,GBP,Isle of Man,XS0109719004,Sovereign,2030-03-29,NR,5.630,Annual,4.876,102.366,1000,Isle Of Man,75000000,1000,No,No,No,37.000,0.578
ITALY 1.1% 01.04.2027,EUR,Italian Republic,IT0005484552,Sovereign,2027-01-04,NaN,1.100,Semi-Annual,2.575,98.585,1000,Italy,16650068000,1000,No,Yes,Yes,35.000,0.105
ITALY 3.35% 01.07.2029,EUR,Italian Republic,IT0005584849,Sovereign,2029-01-07,NaN,3.350,Semi-Annual,2.995,100.973,1000,Italy,19100000000,1000,No,Yes,Yes,125.000,1.157
ITALY 0% 14.04.2027,EUR,Italian Republic,IT0005704447,Sovereign,2027-04-14,NaN,0.000,NaN,2.565,97.556,1000,Italy,8250000000,1000,No,Yes,Yes,22.000,0.000
ITALY 5.25% 07.12.2034,GBP,Italian Republic,XS0197336968,Sovereign,2034-07-12,NR,5.250,Annual,5.551,97.448,1000,Italy,250000000,1000,No,Yes,No,149.000,2.173
ITALY 3.35% 01.03.2035,EUR,Italian Republic,IT0005358806,Sovereign,2035-01-03,NaN,3.350,Semi-Annual,3.716,97.169,1000,Italy,24404000000,1000,No,Yes,Yes,66.000,0.601
ITALY 0% 12.03.2027,EUR,Italian Republic,IT0005699340,Sovereign,2027-12-03,NaN,0.000,NaN,2.588,97.779,1000,Italy,8000000000,1000,No,Yes,Yes,54.000,0.000
ITALY 5% 01.08.2034,EUR,Italian Republic,IT0003535157,Sovereign,2034-01-08,NR,5.000,Semi-Annual,3.668,109.125,1000,Italy,29290621000,1000,No,Yes,Yes,94.000,1.298
ITALY 2.45% 01.09.2033,EUR,Italian Republic,IT0005240350,Sovereign,2033-01-09,NaN,2.450,Semi-Annual,3.536,92.988,1000,Italy,22876925000,1000,No,Yes,Yes,66.000,0.439
ITALY 1.901% 22.06.2031,EUR,Italian Republic,XS1435990863,Sovereign,2031-06-22,NaN,1.900,Semi-Annual,3.625,91.807,500000,Italy,700000000,500000,No,Yes,No,135.000,0.705
ITALY 3.4% 01.04.2028,EUR,Italian Republic,IT0005521981,Sovereign,2028-01-04,NaN,3.400,Semi-Annual,2.815,100.972,1000,Italy,18300000000,1000,No,Yes,Yes,35.000,0.325
