,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
sigma_state,0.1666,0.0742,0.0597,0.2946,4330.1605,4976.9856,1.0003,0.0011,0.0008
sigma_obs,1.2311,0.1856,0.956,1.5396,6884.9172,7089.9854,1.0002,0.0022,0.0017
beta_trend,-0.0527,0.1372,-0.2726,0.1585,4027.1152,4564.9189,1.0002,0.0022,0.002
