,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
sigma_state,0.1306,0.045,0.0625,0.2064,4532.365,3906.6322,1.0002,0.0006,0.0005
sigma_obs,0.0566,0.0272,0.0249,0.1049,5858.7376,6006.2103,1.0004,0.0004,0.0005
beta_trend,0.118,0.0616,0.0173,0.2115,6575.6308,4970.632,1.0005,0.0008,0.0007
log_state_init,5.3011,0.18,5.0152,5.5883,8845.6422,6665.6632,1.0005,0.0019,0.0014
