,arm,rank,elpd_diff,dse,p_worse,diag_diff,diag_elpd,p,elpd,se,weight
0,hierarchy_fine,0,0.0,0.0,,,4 k̂ > 0.70,118.4,-1900.0,67.0,0.64
1,baseline,1,-20.0,11.0,0.92,,,52.0,-1900.0,67.0,0.36
