,arm,rank,elpd_diff,dse,p_worse,diag_diff,diag_elpd,p,elpd,se,weight
0,level_off,0,0.0,0.0,,,,52.5,-1900.0,67.0,1.0
1,baseline,1,-2.0,0.86,0.97,|elpd_diff| < 4,,52.0,-1900.0,67.0,0.0
