,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
sigma_state,0.201,0.0711,0.0934,0.3185,2954.2515,3279.387,1.0007,0.0013,0.001
vol_step_size,0.0721,0.0696,0.0046,0.2029,2273.6509,3533.606,1.0023,0.0014,0.0018
nu_obs,14.3989,10.3815,3.6324,34.4231,12075.0817,7964.4295,1.0003,0.0985,0.1244
beta_trend,-0.0405,0.1548,-0.2946,0.1992,2413.2807,3240.0784,1.0009,0.0032,0.0025
